Model Name,USGIN_Keyword,FeatureType or Layer,ExcelDataTab,NamespaceURI,FeatureURI,keywords
Heat Pump Facility,usgincm:Heat Pump Facility,HeatPumpFacility,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/HeatPumpFacility/0.6,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/HeatPumpFacility/0.6,goethermal facilities|direct use|low temperature|ground source|system
Thermal/Hot Spring Feature,usgincm:Hot Spring Feature,ThermalSpring,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalspring/1.6,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalspring/1.6,hot spring|heat|warm spring|fluid flow|temperature
Thermal/Hot Spring Feature,usgincm:Hot Spring Feature1.8,ThermalSpring,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalspring/1.8,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/thermalspring/1.8,hot spring|heat|warm spring|fluid flow|temperature
Hydraulic Properties,usgincm:Hydraulic Properties,HydraulicProperty,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hydraulicproperties/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/hydraulicproperties/1.0,permeability|porosity|hydraulic|geothermal system|engineering
Mineral Recovery Brine,usgincm:Mineral Recovery Brine,MineralRecoveryBrine,draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/mineralrecoverybrine/draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/mineralrecoverybrine/draft,chemistry|by product|economics|metal
Physical Sample,usgincm:Physical Sample,PhysicalSample,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/physicalsample/0.8,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/physicalsample/0.8,geologic unit|age|lithology|rock sample|geochemistry
Powell and Cumming Geothermometry,usgincm:Powell Cummings Geothermometry.GasAnalysis,GasAnalysis,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/0.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/0.1/gasanalysis,geothermal fluid|well|spring|chemical|geochemical
Powell and Cumming Geothermometry,usgincm:Powell Cummings Geothermometry.GasAnalysis2.0,GasAnalysis,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/2.0/gasanalysis,geothermal fluid|well|spring|chemical|geochemical
Powell and Cumming Geothermometry,usgincm:Powell Cummings Geothermometry.LiquidAnalysis,LiquidAnalysis,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/0.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/0.1/liquidanalysis,geothermal fluid|well|spring|chemical|geochemical
Powell and Cumming Geothermometry,usgincm:Powell Cummings Geothermometry.LiquidAnalysis2.0,LiquidAnalysis,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/2.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/geothermometry/2.0/liquidanalysis,geothermal fluid|well|spring|chemical|geochemical
Power Plant Production,usgincm:Power Plant Production,PlantProduction,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantProduction/0.8,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantProduction/0.8,electricity|facility|electrical|geothermal|net|capacity|Watt|Kilowatt
Power Plant Production,usgincm:Power Plant Production1.0,PlantProduction,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantProduction/1.0,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/PowerPlantProduction/1.0,electricity|facility|electrical|geothermal|net|capacity|Watt|Kilowatt
Active Fault/Quaternary Fault,"usgincm:Quaternary Fault, usgincm:Active Fault",ActiveFault,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/activefault/1.1,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/activefault/1.1,fault|movement|movement sense|slip rate|slip interval|geologic age
Radiogenic Heat Production,usgincm:Radiogenic Heat Production,RadiogenicHeatProduction,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/radiogenicheatproduction/0.5,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/radiogenicheatproduction/0.5,radioactive|flow|rock|uranium|potassium|thorium
Rock Chemistry,usgincm:Rock Chemistry.Isotopes,Isotopes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/isotopes,analyte|chemical|geochemical|isotope|sample
Rock Chemistry,usgincm:Rock Chemistry.MineralRecoveryBrine,MineralRecoveryBrine,draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/draft,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/draft/mineralrecoverybrine,analytes|rock|chemistry|chemical|geochemical|fluid
Rock Chemistry,usgincm:Rock Chemistry.NobleGases,NobleGases,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/noblegases,analytes|rock|chemistry|chemical|geochemical|elements|helium|neon|argon
Rock Chemistry,usgincm:Rock Chemistry.RareEarths,RareEarths,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/rareearths,analytes|rock|chemistry|chemical|geochemical|sample|lanthanide|scandium|yttrium|Lanthanum|Cerium|Praseodymium|Neodymium|Promethium|Samarium|Europium|Gadolinium|Terbium|Dysprosium|Holmium|Erbium|Thulium|Ytterbium|Lutetium
Rock Chemistry,usgincm:Rock Chemistry.SingleAnalytes,SingleAnalytes,,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4,http://stategeothermaldata.org/uri-gin/aasg/xmlschema/rockchemistry/0.4/singleanalytes,analytes|rock|chemistry|chemical|geochemical|sample
